,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
ZNF74,0.323250680180949,4.29664645373337,1.6995962540094,0.098199518562006,0.294066330263079,-5.24629969338685,ZNF74
PXDN,-0.714020566349215,1.12802612512946,-1.69949766522205,0.0982182605048668,0.294066330263079,-4.59171551874236,PXDN
SLC30A7,0.265363516050255,5.54764897306008,1.69937194397936,0.0982421647124845,0.294066330263079,-5.60730225822559,SLC30A7
HYAL2,0.22077735697659,5.58562874127614,1.69918267514089,0.0982781607897326,0.294100880770867,-5.60874060242472,HYAL2
PCLO,-0.925836116607193,1.21587214969005,-1.69886692237552,0.0983382366725512,0.294207455836013,-4.54344956404854,PCLO
LSM6,0.309184943724447,4.12577557385688,1.69804543167528,0.0984946789139801,0.294572026836187,-5.24117461133408,LSM6
TMEM168,0.205766498698047,6.15302445412677,1.69796987086949,0.0985090789004029,0.294572026836187,-5.76939962248958,TMEM168
PDE4A,-0.468726847012786,3.83044027538489,-1.6978045187068,0.0985405969792362,0.294593030044562,-5.19600790268539,PDE4A
ZNF841,-0.385051437071012,3.93706710433624,-1.69728787448788,0.09863912964035,0.294811790672727,-5.15804956019175,ZNF841
EPG5,-0.451816112616102,3.7859955210339,-1.69716384248213,0.098662796828613,0.294811790672727,-5.13528781776163,EPG5
UBFD1,0.247796302034853,6.21404694907943,1.69654355070143,0.0987812289320747,0.295068908552195,-5.7624785616289,UBFD1
MCTP2,-0.244076305908063,5.5546238531081,-1.69645621932617,0.0987979125916429,0.295068908552195,-5.59266016075021,MCTP2
KRBOX5,-0.333459542328509,3.88473673580431,-1.69600948278889,0.0988832932217328,0.295143084605736,-5.18219745105376,KRBOX5
SNRNP25,0.245964755843409,5.45601533335816,1.69596421294372,0.0988919486587786,0.295143084605736,-5.54770837104073,SNRNP25
NUFIP1,-0.407101660629051,3.26019359899813,-1.69594109442342,0.0988963690829895,0.295143084605736,-5.02171108695082,NUFIP1
AAMP,-0.132999547933966,7.59592651515021,-1.6957098268895,0.0989405981285653,0.295201829246404,-6.1483848634638,AAMP
CDC25B,-0.415741073387149,4.26108922206353,-1.69511700004455,0.0990540493013994,0.295467026524784,-5.26330522540245,CDC25B
CCNB2,-0.18707675001437,6.85141223813268,-1.69447488356607,0.0991770554288408,0.295760586571453,-5.92722792883733,CCNB2
H2AC25,-0.656896098215377,1.32364819429141,-1.6940715808311,0.0992543785753893,0.295876120241654,-4.63629918666811,H2AC25
