,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
RWDD1,0.478881576624274,5.12599909830543,3.58746063489871,0.00102281454334124,0.00850718569347518,-1.2006030811789,RWDD1
KBTBD11,-0.771756778743496,4.85697743758688,-3.58553856597313,0.0010283043536495,0.00854693604792156,-1.08142324591543,KBTBD11
MFSD6,-0.389029458785546,6.77631543561182,-3.58280304291244,0.00103616662849633,0.00860623570024269,-1.6555402265453,MFSD6
DTYMK,0.598677965613163,4.744213131775,3.5822952540391,0.00103763245648948,0.00860623570024269,-1.10181330389615,DTYMK
MMP28,-0.824788746427591,3.33568674075246,-3.58223052861972,0.00103781944234995,0.00860623570024269,-0.940160822852515,MMP28
PLEKHA5,-0.536744075976927,5.60772543316833,-3.58206383466473,0.00103830115582042,0.00860623570024269,-1.32340376310047,PLEKHA5
CCNQ,0.48922278617431,5.42618712452616,3.58107063064063,0.00104117580167804,0.00862411939861002,-1.29660524464372,CCNQ
PSMG3,0.4811111032615,5.35517627926922,3.58042255607483,0.00104305567425701,0.00862768197714371,-1.28260563947557,PSMG3
KIAA1217,-0.439907138864195,6.28674378744934,-3.58012888573636,0.00104390860330755,0.00862768197714371,-1.53584354495898,KIAA1217
ZNF710,-0.928209401931113,3.96614368194571,-3.57993921203435,0.00104445984481925,0.00862768197714371,-0.957356678012914,ZNF710
TDO2,-1.64775512339976,0.73163523257987,-3.57993388050405,0.00104447534370344,0.00862768197714371,-0.801277204210366,TDO2
PYGO2,-0.452726046056534,5.84839586128216,-3.57962274771398,0.00104538019864335,0.00862922968365382,-1.38698082653931,PYGO2
UBE2H,-0.320032774042523,7.48676107800342,-3.57889476966967,0.00104750030510634,0.00864079984191627,-1.76099264097765,UBE2H
PA2G4,0.375445078505376,6.3971077863821,3.57824700930358,0.0010493902807617,0.00864540972295239,-1.52390745680203,PA2G4
CAP1,-0.292270373717208,7.45412022522493,-3.57821052980665,0.00104949681512518,0.00864540972295239,-1.79026948595556,CAP1
TYMP,1.13090048396151,2.30133114725461,3.57747043880095,0.00105166042516823,0.00865730317145671,-0.781172193717723,TYMP
COQ2,0.453393699599589,4.7236997017145,3.57628716942202,0.00105512858624435,0.00867991211132746,-1.19244001625441,COQ2
TTC30B,-1.07875435694171,3.49819342934325,-3.57556736896043,0.00105724371758974,0.0086913671848611,-0.89559409655072,TTC30B
VAT1,-0.482222441711258,5.83240287469313,-3.57480386226017,0.00105949175180096,0.00870389842821732,-1.39970122804265,VAT1
LRP5,-0.57266611921174,7.90751234107744,-3.71691455226244,0.00106506709989104,0.00874372833473687,-1.76534785899683,LRP5
NFE2L1,-0.465286367754682,6.32879028965718,-3.57242459441275,0.001066526784759,0.00874973918164837,-1.52030341849096,NFE2L1
FXYD3,-0.207775382334383,10.7512621958873,-3.57193938649616,0.00106796697396829,0.00875558200130651,-2.26372160432001,FXYD3
LRP8,0.760048795179638,5.19663784701376,3.5815945932704,0.00106999306012652,0.0087662169851101,-1.24464852275265,LRP8
OSBP,-0.375809181163115,7.77301005461954,-3.57079122783347,0.0010747731682505,0.00879938522433543,-1.84142411451103,OSBP
GAL3ST1,-1.02258384252457,3.24754154468923,-3.56890142928482,0.00107702695902903,0.00881183893621916,-0.911485707619988,GAL3ST1
ENTPD5,-0.283620798973155,7.94126637899677,-3.56734803781956,0.00108168819076554,0.0088412569267836,-1.9332110045426,ENTPD5
SLC35E2B,-0.673640745186659,5.11562028200644,-3.56721350097024,0.00108209280753517,0.0088412569267836,-1.2170493005721,SLC35E2B
TMC6,-0.315079546129464,7.1854762034932,-3.56618865675215,0.00108517980188001,0.00886045993021782,-1.72756443367499,TMC6
BRF1,-0.862427762264659,3.61385871362446,-3.56562001548586,0.00108689630353826,0.00886845443870732,-0.924623046594711,BRF1
ATP8A1,-0.825850347749147,5.4220636057519,-3.57078877321057,0.00108774989632107,0.00886870562039169,-1.17278451237856,ATP8A1
COPS6,0.265941354893735,8.20960774750921,3.56489963232488,0.0010890746152357,0.00886870562039169,-1.95732687899061,COPS6
NLRX1,-0.570744266182872,5.59611901104024,-3.5648782662622,0.00108913928671477,0.00886870562039169,-1.34368116579428,NLRX1
VIRMA,-0.534846620352043,6.40348012995285,-3.56368592499182,0.00109275418175974,0.00889212080109902,-1.49990335706059,VIRMA
MCM3AP,-0.665603936340724,5.49701271318922,-3.56270803380509,0.00109572755209802,0.00890974683831392,-1.28842606175479,MCM3AP
WDR12,0.494571169378299,6.01042237280475,3.5624866173776,0.00109640187251223,0.00890974683831392,-1.47000657062878,WDR12
VEGFA,0.556471964433317,8.12311514958276,3.70935362826842,0.00110134645173273,0.00894388506076273,-1.85710745904044,VEGFA
SREBF1,-0.494320596657035,7.57783114955037,-3.59998106636669,0.0011030310339189,0.00895152108295725,-1.75708135962293,SREBF1
SATB2,-0.447321845703257,6.8400401979941,-3.55973175621826,0.00110482530988003,0.00896003641397651,-1.61048765032538,SATB2
BCL2L12,0.624041596379751,4.11839672981288,3.55915865250224,0.00110658549556957,0.00896281170502447,-1.07221986443235,BCL2L12
SSR4,0.250882562934617,8.67549523699843,3.55913507483386,0.00110665796806862,0.00896281170502447,-2.05787504432454,SSR4
PNPLA7,-1.6985309830862,1.55038393302111,-3.55880264893201,0.00110768025868636,0.00896505415290772,-0.821275002585754,PNPLA7
NMI,0.507673081403488,5.43228043573612,3.55771125909174,0.00111104295687993,0.00898436911030722,-1.35342681059253,NMI
SLC4A8,-1.28174141847661,1.91040236116703,-3.55754348586975,0.00111156075797266,0.00898436911030722,-0.838568166739775,SLC4A8
LYRM4,0.536667992578265,4.91210289421633,3.55729708704904,0.00111232164444793,0.00898448114021174,-1.24885240520122,LYRM4
APOL1,0.381077573227891,7.57611577576492,3.55649082662736,0.00111481491232472,0.00899857647686538,-1.73434244747853,APOL1
ZNF776,-0.908475472854035,4.524625211722,-3.55822101885277,0.00111842817856426,0.00902168725928391,-1.11947493729157,ZNF776
DPCD,0.556961104280273,4.94474312325838,3.55015773914514,0.0011345875908651,0.009140018814081,-1.24123761897458,DPCD
CCN2,-0.813631636326336,4.18460544852182,-3.55014272112426,0.00113463487849944,0.009140018814081,-1.17771937784924,CCN2
SLC1A4,0.447931504317914,6.14034663067768,3.54990687507812,0.00113537774243261,0.009140018814081,-1.51903213716361,SLC1A4
GFUS,0.414812960967386,5.85415923869327,3.54923340246919,0.00113750161797419,0.00915099127717433,-1.45505692773746,GFUS
APBA3,0.526285068332646,4.93912554571911,3.54561814599873,0.00114896839963469,0.00923706079037866,-1.29428657734385,APBA3
PEMT,0.681315066168839,4.29974957302783,3.54315044612814,0.00115685930622156,0.009294286490265,-1.16353957125442,PEMT
MELK,0.572613282539584,5.71233543207691,3.54119024632425,0.00116316460212234,0.00933870538699957,-1.41411641585143,MELK
RAD23A,0.295605264712167,6.87295273799706,3.53954412807077,0.00116848518607864,0.00937516433153289,-1.75048533569636,RAD23A
