,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
DUSP6,0.240379813486965,8.17175824857861,2.75859323535801,0.00921850490349065,0.0574683968404562,-4.27062380626287,DUSP6
PALS2,1.19104407146022,2.09431791773451,2.75850963073051,0.00922043002712223,0.0574683968404562,-2.85462353154807,PALS2
B4GALT4,-0.335645285465751,6.08582858653758,-2.75843780877095,0.00922208413586767,0.0574683968404562,-3.84839614635798,B4GALT4
TRIM69,0.45829472817339,5.32711430562442,2.7564510899345,0.0092679493164694,0.0577243016204959,-3.57396743080668,TRIM69
ZFP28,-0.933667163776593,2.77817597985945,-2.75381538473576,0.00932912476631913,0.0580752502921947,-2.97390547822654,ZFP28
SFXN3,-0.505293741776937,4.76765803283292,-2.75333849530165,0.00934023358721109,0.0581143245490883,-3.51551694024237,SFXN3
PDE9A,-0.697259523574186,4.54908370817964,-2.75247556576708,0.00936036626294661,0.0582094752039601,-3.33844290494444,PDE9A
PARP1,0.286763965452594,7.43399129598426,2.75026443263623,0.00941213787606597,0.058487751917852,-4.12144345625866,PARP1
SPTLC2,-0.321672598081803,6.68024969519053,-2.74995172610692,0.0094194810820937,0.058487751917852,-3.95394173889641,SPTLC2
HTRA2,0.593259526517622,3.49748375330209,2.74982470593666,0.00942246538632593,0.058487751917852,-3.20994694585453,HTRA2
TPRN,-0.77910695349962,4.07407919279437,-2.7497352924412,0.00942456665974866,0.058487751917852,-3.34372273699862,TPRN
COX5A,0.204532087103964,8.95430321303081,2.74950467461298,0.00942998833723014,0.0584912169839437,-4.42797832804475,COX5A
NEK2,0.460832742185496,4.6208078088182,2.74888680869763,0.00944452827988348,0.0585512070217312,-3.51927263966522,NEK2
FASTKD1,-0.513285866005754,4.76455116065092,-2.74821290003397,0.0094604108382251,0.0586194544829126,-3.42760180546513,FASTKD1
PPP1R12A,0.281755179004219,6.55981365524957,2.74511870891987,0.00953365375527631,0.059042870089963,-3.98026038205183,PPP1R12A
PEX19,0.284029511121314,7.02361085184845,2.74477450942229,0.00954183386923502,0.0590631168014872,-4.10825613945888,PEX19
SIX4,1.00947504865605,2.38454971941169,2.74380206598132,0.00956497989201063,0.0591759326960967,-2.89839226976783,SIX4
CPNE7,-1.04030522599175,2.9001984981555,-2.74312623026223,0.00958109683849106,0.0592451679570858,-2.94916605473796,CPNE7
EXOC3L1,-1.31393889990352,2.03512696343369,-2.74269171092517,0.00959147234961498,0.0592551477367841,-2.83477837655372,EXOC3L1
TM4SF5,-0.541105273737209,4.17674730986883,-2.74264599993388,0.00959256445028009,0.0592551477367841,-3.40317670485374,TM4SF5
TAX1BP1,0.256217292094322,8.03448219313441,2.74212031553316,0.00960513211713094,0.0593023223679332,-4.2838809017679,TAX1BP1
EXOSC9,0.642326249473401,4.24165636909034,2.74079202814909,0.0096369560971749,0.0594357872879116,-3.37393486595443,EXOSC9
CLINT1,0.261898058372176,7.63927101173142,2.7406038236212,0.00964147314999717,0.0594357872879116,-4.2500937145573,CLINT1
BST1,-1.82023884110785,0.23043553083472,-2.74059958623849,0.00964157487309516,0.0594357872879116,-2.69600637366628,BST1
SLC38A1,-0.244041500622904,8.77310093243192,-2.73999704771085,0.00965604965104074,0.0594945231316941,-4.4019737653348,SLC38A1
DHRS11,-0.680860123707233,3.81269877123479,-2.73948955000785,0.00966825694430752,0.0595392351608738,-3.26365046761485,DHRS11
BMAL1,0.612505751771244,4.51977246012953,2.73893322126045,0.00968165530656065,0.0595663162485474,-3.47938921945653,BMAL1
PID1,-0.849686444995517,3.45113923275207,-2.73889568520904,0.00968255992898564,0.0595663162485474,-3.05793925503159,PID1
RER1,0.258045608965655,7.3357570639864,2.73824101351763,0.00969835022815464,0.0595921909678499,-4.17319751143692,RER1
NPTXR,-1.39252849808264,1.33341662135028,-2.73811103397085,0.0097014881073074,0.0595921909678499,-2.80374052695955,NPTXR
COX6A1,-0.262912649199398,7.37098485868037,-2.73810513697658,0.00970163049098279,0.0595921909678499,-4.15008915212166,COX6A1
PGM1,-0.181961566507875,8.48572165278836,-2.73768220882918,0.0097118472146252,0.0596244953804478,-4.40511926295158,PGM1
PDPK1,0.521629586399311,4.84136457806812,2.73675230378017,0.00973434623684389,0.0597321337706742,-3.57843308189662,PDPK1
PPP1R15B,0.435737836472284,5.87798311527237,2.73627931027112,0.00974580888957063,0.0597423578219697,-3.81834557684758,PPP1R15B
KIF4A,0.366215149279927,6.27868779568,2.73627360938714,0.00974594712286559,0.0597423578219697,-3.94610800318398,KIF4A
MCCC2,0.328113064963993,7.09919658043549,2.73589695787907,0.00975508409468172,0.0597679044354239,-4.10117076420939,MCCC2
SRSF10,0.308912432193892,7.06752603558976,2.73460743545156,0.00978642623429548,0.0599237010933237,-4.07348179442559,SRSF10
SLC16A5,-0.463612712078021,5.48419611692475,-2.73444103378323,0.00979047747970243,0.0599237010933237,-3.68186480163795,SLC16A5
SLC25A33,0.449269538117607,5.20266557049773,2.73403793012143,0.00980029798073548,0.0599450585592064,-3.62898858772775,SLC25A33
MTFR2,0.575423173402774,3.84608773094161,2.73388872268266,0.00980393532767598,0.0599450585592064,-3.33510415725623,MTFR2
HPGD,-0.530384634035117,5.0810403147195,-2.73213248257764,0.00984684301963641,0.0601768196123816,-3.57867451650822,HPGD
DMRTA2,-1.07546804977836,3.16838294907208,-2.73065526967658,0.00988306876560645,0.0603490890212082,-3.03623458012454,DMRTA2
LRRC36,-1.81157079786488,0.204476835735926,-2.73039559680453,0.00988944952300734,0.0603490890212082,-2.70772646596135,LRRC36
EPC2,1.08680116065988,1.94553313832834,2.73036973648005,0.00989008518007827,0.0603490890212082,-2.90975109341222,EPC2
CENPH,0.577691045237457,3.79072753103609,2.72884931159864,0.00992752466354396,0.0605468251158434,-3.29783890453775,CENPH
TBC1D19,1.0278927874249,1.84160453479746,2.72793323842609,0.00995014593517789,0.0606540320133728,-2.89989476294779,TBC1D19
GGT7,-0.673851248011395,4.09856817742478,-2.72730736022086,0.00996562874818944,0.0607176377682241,-3.34592108824456,GGT7
CDKN2B,-1.23004529801347,2.37078245372553,-2.72658573572276,0.00998350790053887,0.0607957719087499,-2.88960339768721,CDKN2B
HARS1,0.310120791658811,6.54105289194891,2.7256719984537,0.0100061896635698,0.0609030582407663,-3.96468330953773,HARS1
