,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
MYO5A,-1.54644552839588,1.17586918545006,-2.26621056331785,0.0298158886473197,0.138882917413367,-3.71110915310838,MYO5A
VMP1,0.235664145017983,7.28325299509349,2.26392872005827,0.0299701659348237,0.139500935974868,-5.23690475576763,VMP1
HR,-0.516630957340624,5.41963552815112,-2.26866354522392,0.0299717650751691,0.139500935974868,-4.75714975549798,HR
TEC,-1.27428250561193,2.46223836757491,-2.26450966427672,0.0299994256862433,0.139575664498433,-3.87768582243374,TEC
RABL3,0.364617295437002,4.9640535252073,2.26328615325732,0.030013739434646,0.139588261477373,-4.66180478562683,RABL3
CYP2U1,-1.0135754231722,3.42960467214315,-2.26628464871966,0.0300520593625828,0.139712453789634,-4.11463522853849,CYP2U1
CWH43,1.36259620015082,0.060252933106604,2.26254837633816,0.0300638393617916,0.139713213293767,-3.75270183591803,CWH43
MED27,0.342099804194957,5.01987301873941,2.26138588929631,0.0301429321332728,0.139979414608255,-4.65138113998501,MED27
VPS50,0.413752683333829,5.75569304354949,2.26133809541646,0.0301461879021573,0.139979414608255,-4.82185595346787,VPS50
FBXO21,-0.181540320339245,7.633905394991,-2.26088321386202,0.0301771906962495,0.139979414608255,-5.33242776072671,FBXO21
SH2B2,-0.87765713291909,2.2549592722202,-2.26085722477993,0.0301789628648624,0.139979414608255,-3.93781285984364,SH2B2
GMPS,0.218622605325733,7.59381418741832,2.26085206013543,0.030179315047743,0.139979414608255,-5.30069762249976,GMPS
MAP3K9,0.634012597381855,4.05638382466869,2.26031157603455,0.0302161916446242,0.140096429032342,-4.45213809607492,MAP3K9
YIPF1,0.394445923107909,4.83225247523731,2.25994613036394,0.030241148466975,0.140118508438477,-4.64233235292999,YIPF1
DOP1B,0.60240752813293,3.90123121103936,2.25990066845893,0.030244254419746,0.140118508438477,-4.51362810661879,DOP1B
ITPR3,0.620576162546181,6.2287351186822,2.31288449662611,0.0302648572886065,0.140159968660019,-4.96776973953359,ITPR3
BRI3BP,0.205910267428443,7.00798137824435,2.25766857151405,0.0303971033000897,0.14069889633227,-5.12511866546489,BRI3BP
MGAT4B,-0.363080605966193,8.56512372082809,-2.30110014227731,0.0304151414598005,0.14069889633227,-5.44034559727393,MGAT4B
DPF2,0.23456597162118,6.71362923773371,2.25738859659295,0.0304163241426707,0.14069889633227,-5.1135837719052,DPF2
YAE1,-0.456427778105291,4.6481776959123,-2.25719025823356,0.0304299470635759,0.14070779443815,-4.56851112879976,YAE1
ADGRG1,0.335599259092469,7.08072556436134,2.26848331872178,0.0304686283402042,0.14083251077926,-5.28024338210658,ADGRG1
PIWIL4,0.590918413055603,3.39262458478249,2.25604700902499,0.0305085781141176,0.140962992308295,-4.34150415778782,PIWIL4
ISX,-1.00597935255456,2.52297640513723,-2.25579165432514,0.0305261659107897,0.140990091170917,-4.03272773304712,ISX
ZBTB7B,-0.579883914219067,4.01070764402454,-2.25521367451237,0.0305660083880098,0.141119916653587,-4.46502558261867,ZBTB7B
DUSP9,-1.08717894395915,1.45540966776986,-2.25432399455849,0.0306274287094927,0.141349226818522,-3.79294252318822,DUSP9
MCM3AP,0.405512581037192,5.49701271318922,2.25397181496745,0.0306517724729885,0.141407313974926,-4.86264658019345,MCM3AP
HEXA,0.37324504726072,5.1011535161939,2.25332934850592,0.0306962264560665,0.141503624336439,-4.73007885904055,HEXA
PTGER2,1.19303000102672,1.86054392389399,2.25298070810496,0.030720373999357,0.141503624336439,-3.89204240924412,PTGER2
DAB2,-0.364171806924404,5.13087738416485,-2.25289299251114,0.0307264520393731,0.141503624336439,-4.77350224040945,DAB2
RNF38,-0.458798452670453,5.44748750792997,-2.25283374274064,0.0307305582187576,0.141503624336439,-4.7957258909741,RNF38
SPRN,1.2122274297251,0.406004973941371,2.25282049476737,0.0307314764086454,0.141503624336439,-3.72473020108944,SPRN
HEATR5B,0.507812913325253,5.00989319894701,2.25561871942125,0.0307612549120044,0.141586533802785,-4.7581189235962,HEATR5B
SMARCA2,-0.393744592596826,5.51975522705391,-2.24814825478748,0.0310568370618363,0.142867307868288,-4.84284597982907,SMARCA2
TUSC2,-0.317434451656772,5.74083908521775,-2.24800230259702,0.0310670502468206,0.142867307868288,-4.84343327706583,TUSC2
RPS6KA2,0.433173782227358,5.34082139015139,2.24766641943069,0.0310905655153836,0.142867307868288,-4.79197524601055,RPS6KA2
SMIM10L2A,1.05025578563397,0.866851001192558,2.24764047822708,0.031092382328865,0.142867307868288,-3.86486976742716,SMIM10L2A
PRPS1,0.440380308151864,4.25248068987785,2.24754725924286,0.0310989117817558,0.142867307868288,-4.44952659588785,PRPS1
MSMO1,0.259792575443408,8.65615997563667,2.25244934408357,0.0311378019681052,0.142991349473235,-5.48159058757963,MSMO1
MAPK8,0.461145767716902,4.06535213114496,2.24663990798998,0.0311625306933924,0.143050288797493,-4.44690786497598,MAPK8
ELF2,-0.473904491762898,4.68158529312233,-2.24640709300788,0.0311788732895075,0.143070701660781,-4.58403918943392,ELF2
EXOSC5,-0.375115299262418,5.39690569845286,-2.24606493953279,0.0312029048999653,0.143126368128102,-4.73440798257534,EXOSC5
NKD2,-1.04406607761727,2.2852852027097,-2.24447479296685,0.0313148088074127,0.143584904890108,-3.87504525455258,NKD2
RNF10,0.180318041832445,8.73707783969596,2.24396017714191,0.03135110092608,0.143696528520566,-5.5541265707478,RNF10
HOXC6,0.764668999207172,2.58610748818522,2.24263577927022,0.0314446743241067,0.144070513560393,-4.13236395648055,HOXC6
NBDY,-0.23627803465881,6.4954225259838,-2.24202747990445,0.0314877365605381,0.14421287418644,-5.12271468259378,NBDY
ZNF302,-0.392040778021124,4.49518921725041,-2.2411879952801,0.0315472513740864,0.144372129857552,-4.57983646334611,ZNF302
EMC3,0.279040005527897,6.18943243694377,2.24097494268584,0.0315623716348098,0.144372129857552,-5.04220397371951,EMC3
BTG3,0.375262197573038,5.26865065921599,2.24088931900601,0.0315684501415667,0.144372129857552,-4.70128123174657,BTG3
