,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
TMC1,1.13685560088885,0.914201526687544,2.15317533136466,0.0383733629065216,0.16967516017527,-3.80099886781915,TMC1
PRMT5,0.315054998372291,5.39658350929691,2.15277116685337,0.0384075232535845,0.169715514508176,-4.79901820000091,PRMT5
ZNF34,-0.824247898006261,2.85138659985175,-2.15273345850177,0.0384107117727825,0.169715514508176,-4.08857199482988,ZNF34
CTSH,-0.21995035674118,6.59005904724185,-2.15207315685504,0.0384665832162142,0.16989996193221,-5.102718582747,CTSH
MYO6,0.240493452404168,7.16145852120735,2.15123327938684,0.0385377536313054,0.170117538507946,-5.2434159740632,MYO6
WNT5B,-1.25745018154563,2.02978706415612,-2.15103793391551,0.0385543237527232,0.170117538507946,-3.76172016497831,WNT5B
HYOU1,0.347455681666243,6.26585162982617,2.1517623784911,0.0385582780388011,0.170117538507946,-5.04915862390926,HYOU1
ZDHHC18,0.568244022107888,4.14581218635405,2.15022643331845,0.0386232267205713,0.170341601675215,-4.50265292948287,ZDHHC18
PPP1R3B,-0.426665431333325,4.92524767026636,-2.15001323088754,0.0386413474384448,0.170359048989067,-4.74436104850931,PPP1R3B
FAM216A,0.982347745418604,1.91097472410274,2.14921946634379,0.0387088781894118,0.170543521411065,-3.95598409663302,FAM216A
TSPAN12,-0.358158023138129,5.26025640802289,-2.14918808525888,0.0387115501332175,0.170543521411065,-4.85526873975413,TSPAN12
FAR1,0.220382391695655,7.32036528071836,2.14859513999014,0.0387620672335466,0.170703545447772,-5.32539467283283,FAR1
KIF3B,-0.395688951910239,5.22891750176023,-2.14831442310871,0.0387860038242181,0.170746437772281,-4.73416669569147,KIF3B
UCP2,-0.42016572519963,4.76992720121905,-2.14712047309777,0.0388879578391066,0.171132626758483,-4.62068002839613,UCP2
ZNRF3,-0.381041762656407,5.50969020374913,-2.1468746351847,0.0389089799536387,0.171162509839946,-4.75480226324144,ZNRF3
NAA30,-0.292963740895208,5.81229746944707,-2.14649320054603,0.0389416171715445,0.171243447796039,-4.90389969323952,NAA30
ZNF575,-1.0721064707435,0.471511284587416,-2.14554628920988,0.0390227439841004,0.171424754059182,-3.79023360865016,ZNF575
TLR3,-0.977633052465894,2.50234139307633,-2.14544533808959,0.0390314018224109,0.171424754059182,-3.99108117050477,TLR3
FAM32A,-0.209841047429127,7.60853852647444,-2.14539502400293,0.0390357175289372,0.171424754059182,-5.37105988819116,FAM32A
RAB10,0.151860871133408,8.67867094709593,2.14518457906986,0.0390537730938454,0.171424754059182,-5.54502219347777,RAB10
HSD17B4,0.174867114044313,7.5532272553819,2.14505874339413,0.0390645729661657,0.171424754059182,-5.37810937355882,HSD17B4
FBXL14,-0.282106769410714,6.08067108745183,-2.14501454325291,0.0390683670804206,0.171424754059182,-4.88986014926755,FBXL14
RPL29,-0.173870323230295,8.0175975182609,-2.14470027335826,0.0390953532431223,0.171480603010588,-5.44030106089198,RPL29
TRIM10,-0.590241682274708,3.58859037868391,-2.14440376403114,0.039120829463442,0.171529790724323,-4.26865125923383,TRIM10
PLOD3,0.17149596546875,8.55213747103815,2.14395960957307,0.0391590189516689,0.171634665062581,-5.5512320381239,PLOD3
C17orf113,-1.05328249200835,1.04245489701112,-2.14352406392063,0.0391965003167477,0.171736360404198,-3.8259629098524,C17orf113
ADIPOR1,-0.135917054835872,8.65528725333631,-2.14297694882122,0.0392436279669606,0.171880230720552,-5.53310553892067,ADIPOR1
COLEC11,1.26587597266023,-0.0358248019143019,2.14248003134591,0.0392864751798413,0.172005255547125,-3.79783743197484,COLEC11
HYAL2,0.305910314242198,5.58562874127614,2.14197217564651,0.0393303083815207,0.172134504695979,-4.86186158356851,HYAL2
HECTD4,-0.641797370629957,4.2775061467736,-2.14178712143073,0.0393462912442863,0.172141813312125,-4.38994785163188,HECTD4
PPM1D,-0.466039367351925,5.14605513444559,-2.14158993902202,0.0393633279344223,0.172153725479017,-4.70153044934105,PPM1D
SSBP4,-0.373859756956663,4.61769319526574,-2.14109393831839,0.039406211625316,0.172278628577853,-4.59625384420773,SSBP4
URGCP,-0.31918356210294,6.71110436607887,-2.14215713647704,0.0394373246546264,0.172334101467957,-5.15665522677279,URGCP
USP31,0.643227621541163,4.00228709420025,2.14051738541607,0.0394561117923797,0.172334101467957,-4.43254300937652,USP31
COX6B1,-0.192110247591608,7.85016479781244,-2.14045069917237,0.0394618870410537,0.172334101467957,-5.43663394856231,COX6B1
VPS39,-0.281016899454746,6.854126774119,-2.13917651828196,0.0395723792632151,0.172753903955967,-5.19591803930976,VPS39
TMEM268,0.779360270921138,3.24989203636031,2.13852941163385,0.0396285988074193,0.172931730075911,-4.25674549096186,TMEM268
PIK3R4,-0.388468856595278,6.02628555118552,-2.1383767652804,0.0396418707756952,0.172931730075911,-4.92691190473106,PIK3R4
PPP2R3C,0.383961155354927,4.58245631049078,2.13815388321106,0.0396612565197826,0.172931764903466,-4.58667814126526,PPP2R3C
POLA1,0.322599027637681,5.9518290797797,2.13804607975745,0.0396706360163517,0.172931764903466,-4.97705854082755,POLA1
STPG1,-0.578380361303095,3.26916025246902,-2.13781182968199,0.0396910238413292,0.172957950630314,-4.30051779899286,STPG1
TBRG4,0.146486599213876,8.35915169461363,2.13729752008027,0.0397358190496728,0.173090436693377,-5.51063536442391,TBRG4
YME1L1,0.152361125275903,8.11440163345805,2.13588227312347,0.0398593150780193,0.173539984507592,-5.48325297061537,YME1L1
MICAL2,-0.367626904627269,6.78595888376041,-2.15547095274914,0.039867878705785,0.173539984507592,-5.26630902355197,MICAL2
MRPL51,-0.222049330932163,7.26036056312448,-2.13559104262415,0.0398847703026139,0.17355069914238,-5.28810508361917,MRPL51
NFU1,-0.310776928531481,5.27950919532229,-2.13462611862417,0.039969213110898,0.173855235473696,-4.77143413772052,NFU1
SATB2,-0.295704809927566,6.8400401979941,-2.13407618440572,0.040017409952567,0.17400194848139,-5.12910500532904,SATB2
IL1A,1.25549994936726,-0.0649536647669892,2.13266058694488,0.0401417112488086,0.174479349905826,-3.80483950706655,IL1A
PRR7,0.42196452413624,4.23892607179481,2.1320467187607,0.0401957201689121,0.174625012418959,-4.4943835511568,PRR7
TMEM167A,0.293287342723209,6.70359357190961,2.13194969844388,0.040204262026116,0.174625012418959,-5.18555364899767,TMEM167A
KRT17,-0.85571052439049,2.54354351337273,-2.13171871668711,0.0402246045751091,0.174650295749039,-4.05642274312265,KRT17
RNF138,0.406860519555336,5.16261111859634,2.13155238889428,0.0402392586952111,0.174650871283762,-4.797043993065,RNF138
TTL,0.524209743760304,4.28441528351789,2.13118755224322,0.0402714187621666,0.174727400235418,-4.58065352818832,TTL
IMP4,0.240179864886566,6.31294784512554,2.13012763132594,0.0403649790492481,0.175070177794918,-5.08489385465666,IMP4
CYB561D2,-0.311246290962619,5.51146135751549,-2.12988603659509,0.0403863317606934,0.175099643866568,-4.84642133008239,CYB561D2
WASH6P,-0.495786849561315,4.19305854296079,-2.12957855981023,0.0404135217391027,0.17515438773196,-4.47520912692579,WASH6P
PCED1B,-0.646517834375964,3.44290273548736,-2.12939284234947,0.0404299524630302,0.175162477764,-4.22195996593634,PCED1B
SLC12A8,0.42327117434407,4.53787506639667,2.12915120388157,0.0404513394578198,0.17519202724494,-4.63932055006149,SLC12A8
RHEB,0.271847077381171,6.3068829074376,2.12850947778516,0.040508186107117,0.175375073545823,-5.06706122822029,RHEB
STYK1,0.48705857189996,4.60022669152852,2.12775108923195,0.0405754583001305,0.175603107943746,-4.73088405804303,STYK1
TWNK,0.545164058474548,3.95752844566293,2.12652345749797,0.040684563809703,0.176011960050107,-4.50904673352484,TWNK
EIF4A3,0.198846501505057,7.70076712890026,2.12581868684025,0.0407473173482871,0.17620384121482,-5.4271081684394,EIF4A3
CNFN,-1.03240639388244,0.502063551799213,-2.12569636351297,0.0407582178647733,0.17620384121482,-3.84555771232294,CNFN
TSPAN7,-1.05726602541626,2.36410783289715,-2.1254808358962,0.0407774303087548,0.17622355527251,-4.00810139383347,TSPAN7
FOXO3,-0.349018239422052,6.47639204411363,-2.12776826511609,0.0407985625260427,0.176251548671234,-5.11795438056276,FOXO3
AMACR,-0.535275828068235,2.73405428592709,-2.12499920298719,0.0408203927179764,0.176282536164848,-4.25006487463959,AMACR
C20orf27,0.296237503336906,5.30760006093773,2.12409032833954,0.0409015748281839,0.176525136929595,-4.8507118087669,C20orf27
ALG10B,0.538013299330822,3.68383311152278,2.12392038754088,0.0409167700423293,0.176525136929595,-4.43650690813929,ALG10B
SLC35B4,0.757880967209464,3.12185565613517,2.1238775389634,0.0409206021251942,0.176525136929595,-4.25594461887756,SLC35B4
GRHL3,0.714729049674243,3.36250046783885,2.12327012093293,0.0409749595782614,0.176669830036398,-4.27049699616202,GRHL3
TEX261,0.349811990219679,6.05847036515964,2.1231744987902,0.0409835225577077,0.176669830036398,-5.02944169760262,TEX261
ANKRD9,-0.224500731497692,7.28418866054421,-2.12254916849073,0.0410395600163399,0.176764237640144,-5.40675351136694,ANKRD9
UBE4A,-0.24731085984336,6.58921694521172,-2.12252828521914,0.041041432588611,0.176764237640144,-5.18578446612255,UBE4A
WASHC3,-0.306790127622293,5.40833108295597,-2.1223486987107,0.0410575389655753,0.176764237640144,-4.81699461147937,WASHC3
TSKU,-0.341925357962784,6.04713148930802,-2.12227431038077,0.0410642121864606,0.176764237640144,-5.02481337841683,TSKU
EEF2K,-0.370617678210461,5.25264312047843,-2.12178575818325,0.0411080630154263,0.176889686542587,-4.91572267277625,EEF2K
CYP2R1,-0.451055267516638,5.38158977912123,-2.12144292383742,0.0411388594078492,0.176958892023677,-4.66987984450863,CYP2R1
EPB41,-0.413499665832113,5.02954438832342,-2.12063986054102,0.0412110774716783,0.177184699574469,-4.67120812106223,EPB41
FAM199X,0.179430271600495,7.25426571618183,2.12053163085573,0.0412208189414952,0.177184699574469,-5.34907302394065,FAM199X
JKAMP,-0.248163868858054,6.55887762405266,-2.11971166319525,0.0412946882342476,0.177438805070845,-5.13407207431464,JKAMP
RPL7L1,0.279262875311531,6.65693364256351,2.11875638471775,0.0413808949695143,0.177745722785124,-5.17041961770924,RPL7L1
PLEKHO2,-0.591808535999264,3.11606423752312,-2.11709641793748,0.0415310729534985,0.178327102610398,-4.28021566735271,PLEKHO2
PNO1,0.323702581712755,5.10564689796823,2.11693089375511,0.0415460743812128,0.178327850315077,-4.80922152312465,PNO1
ZNF783,-0.793494690927915,3.55702462495147,-2.11602182949069,0.0417539075241152,0.179155992077251,-4.34023911221828,ZNF783
MEAK7,-0.390958550900269,5.17276041162863,-2.11389373491796,0.0418221827996532,0.179384947407785,-4.8234030475046,MEAK7
PKHD1,1.33990825649819,1.52950546041035,2.11679181810369,0.0419104841382649,0.179699605251662,-3.98054633778794,PKHD1
MLLT3,-0.709755900604964,3.16567088451865,-2.11259741881796,0.0419405237903545,0.17974119752546,-4.27370922854928,MLLT3
REPS2,-0.416799572151791,5.04562528716883,-2.11249294472341,0.041950074121058,0.17974119752546,-4.80737540153259,REPS2
SASS6,0.731121051689356,2.98090041344597,2.11125383504703,0.0420634919081374,0.180064686895405,-4.20339316429256,SASS6
KMT2A,-0.455005871278004,4.88321247703724,-2.11123625646192,0.0420651028518089,0.180064686895405,-4.70555275320891,KMT2A
KIF21A,0.419011943428819,4.36404399963934,2.11117748816884,0.0420704889146161,0.180064686895405,-4.64141225564704,KIF21A
RBM33,-0.524307813325835,4.02402604875071,-2.11069969498281,0.0421143008522317,0.18010758969777,-4.47926293340145,RBM33
SRGAP1,-0.544342075683635,3.63327453036726,-2.11069279754016,0.0421149336181296,0.18010758969777,-4.50161246053282,SRGAP1
KPNB1,0.411237200909515,5.39383684719649,2.11057830192156,0.0421254385815104,0.18010758969777,-4.86748070265962,KPNB1
LHFPL7,1.1733688632295,0.804881946687509,2.11002506690746,0.0421762304566713,0.180260669403833,-3.88486363488356,LHFPL7
SMIM13,0.493906993224665,4.4547974154607,2.1095260259536,0.0422220932198422,0.180392580872129,-4.6158712639713,SMIM13
TNF,1.26867785352181,0.400356925900297,2.10889896524985,0.0422797836535696,0.180574914063026,-3.87617200678141,TNF
SEC23B,0.177337041536569,8.05663997319584,2.10866004130737,0.0423017832838173,0.180604738216,-5.50119503560219,SEC23B
H4C14,-1.23275199132158,0.180965418908135,-2.10784427046749,0.0423769739839224,0.180861556460126,-3.84496930939911,H4C14
ARHGEF26,0.646532219872786,3.55557150697528,2.10668798858621,0.0424837521793256,0.181252957595158,-4.37152467739347,ARHGEF26
GIPR,-1.40579121955934,-0.0491448717435763,-2.10624444843137,0.04252477439089,0.18134453737618,-3.8369867062709,GIPR
ATP6V1B2,-0.211689308436444,6.84338435950008,-2.10612990762846,0.0425353737372748,0.18134453737618,-5.24350326049784,ATP6V1B2
MIIP,0.441019938859424,4.51224580198049,2.10593239882804,0.0425536562314321,0.181358194009721,-4.6404287984223,MIIP
ZSWIM8,-0.644804530630351,3.3588364454331,-2.10552488005233,0.0425914003167144,0.18145475437801,-4.27785311644976,ZSWIM8
PRRT1B,-0.674022741879273,3.20051782653461,-2.10411683366597,0.0427220400317913,0.181906917857956,-4.24561712043277,PRRT1B
SLC1A1,-0.39765747143079,4.94458606668233,-2.10402760800202,0.0427303303642116,0.181906917857956,-4.77594430440641,SLC1A1
GRPEL2,0.36433283649777,5.63405059514596,2.10389227306155,0.0427429076134184,0.181906917857956,-4.95864927480397,GRPEL2
TMEM168,0.279890315750324,6.15302445412677,2.10354027774227,0.0427756353279001,0.181981806186295,-5.0940137213055,TMEM168
CLCC1,0.348904979351945,5.29872330953046,2.10303040435044,0.0428230813942166,0.182119236183962,-4.87516168249931,CLCC1
DNMT1,0.335907109934666,6.32523626105233,2.10268747327567,0.0428550188216036,0.182190636750593,-5.10437259979959,DNMT1
YIF1B,0.504866254107436,4.08806355519499,2.10237716865568,0.042883935832355,0.18221695519194,-4.5708710598631,YIF1B
FBH1,-0.235572613167899,6.8760369168499,-2.10229591341006,0.0428915107797773,0.18221695519194,-5.24288400045136,FBH1
IER5L,0.789941876025195,1.75217607067502,2.10183463871612,0.042934535075825,0.182335329575193,-4.02578298249108,IER5L
PRXL2B,-0.275885020784482,5.47154301898828,-2.100575295073,0.043052191274767,0.182708018318674,-4.91703027518993,PRXL2B
MAPK3,-0.717185085121392,2.73474646381244,-2.10057012224417,0.0430526751405273,0.182708018318674,-4.25173234616585,MAPK3
PIGB,-0.425304091559007,4.36125171662801,-2.10036345779949,0.0430720104313541,0.182725597692379,-4.60479499003656,PIGB
NAV3,1.29731043072589,0.00199970711758697,2.09885640976801,0.0432132398607373,0.183260097251441,-3.89306371000178,NAV3
PHLPP2,-0.560357285251834,4.20715396856794,-2.09725127305135,0.0433905287164817,0.183947088076534,-4.66291538338043,PHLPP2
MST1,-1.14445414214855,0.0574704425451171,-2.09658788699794,0.0434265991545762,0.184035133203696,-3.86244460514146,MST1
PGAP2,-0.228400984575674,6.76764071175775,-2.09537645754461,0.0435409166245289,0.184412795907099,-5.24358567952178,PGAP2
