,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
INO80D,0.609464950716889,3.58130789099539,2.02413599390791,0.0507470315630653,0.220862364821221,-4.7054023839334,INO80D
ERG,1.0763035720645,0.760558907941209,2.02403673451623,0.0507577597377447,0.220862364821221,-4.15676107508746,ERG
PTGR2,0.71470156224424,2.10218272812513,2.02289558170892,0.0508812405609116,0.221295394354001,-4.3861486242215,PTGR2
LRRC41,0.175114697824705,7.47259334620062,2.02266101338719,0.0509066550269281,0.221295394354001,-5.71220044040641,LRRC41
BCL2L1,-0.409356703688462,5.08761278380148,-2.02248910039839,0.0509252881032568,0.221295394354001,-5.12069531630402,BCL2L1
EPB41L3,-1.00876344190439,2.03910841518557,-2.02228392320954,0.0509475343784556,0.221295394354001,-4.27217390778045,EPB41L3
PEA15,-0.515676011091709,3.86772930019402,-2.02226786009475,0.0509492763753412,0.221295394354001,-4.71147447963177,PEA15
LINGO1,0.927197163667339,1.0769579749442,2.0215800980859,0.0510239109641451,0.2215395585436,-4.22495909536819,LINGO1
ZNF101,0.651226247325826,2.93500783350917,2.02076168508349,0.0511128480340812,0.221845623711979,-4.52748428093092,ZNF101
TXNDC17,-0.283021413643985,5.78463871884718,-2.0201293812352,0.0511816533297732,0.222064121427555,-5.28422257540305,TXNDC17
ATP6V0E2,0.390439909866235,4.57768477244376,2.0193911209214,0.0512620908756944,0.222308027091547,-4.94792386978077,ATP6V0E2
ZFYVE21,0.202239255338648,6.87463785610795,2.01927422724901,0.0512748372122683,0.222308027091547,-5.56917863062305,ZFYVE21
FASTK,-0.237424079972159,5.85640942411575,-2.01900749843431,0.0513039322629226,0.222353410971567,-5.25788250244874,FASTK
CCSER2,0.245420788450655,6.23764476741482,2.01883935797756,0.051322280606724,0.222353410971567,-5.35639604752965,CCSER2
TXNIP,0.190528464081471,9.45642352357568,2.02227163253832,0.0513717242188629,0.222487478278813,-6.04969804691372,TXNIP
TANC1,-0.311015234813008,5.84043735310247,-2.01750381257258,0.0514682258682095,0.222825180891633,-5.28057604494223,TANC1
GLB1L2,-0.344778643939501,6.2557120044887,-2.01657179011924,0.0515702897552344,0.223186712805399,-5.3330272320713,GLB1L2
PRRG4,-0.303963926387516,5.58447012222624,-2.01605209551458,0.0516272771919108,0.22335297222558,-5.21888207456014,PRRG4
CDK8,-0.660185663386238,3.42910751553777,-2.01493636354862,0.0517498093015775,0.223802573344147,-4.58344024456015,CDK8
PPCS,-0.187918162266011,6.98428272389905,-2.014682852625,0.051777685804659,0.223842640967877,-5.59482781358312,PPCS
HIGD2A,-0.273657599217318,5.27905474788348,-2.01439745547485,0.0518090842628711,0.223897900262145,-5.18593209505387,HIGD2A
ARFIP2,0.216738795888022,6.63928667901324,2.01363611184726,0.0518929261408972,0.224076122283797,-5.52928512010698,ARFIP2
PCNX1,0.701323191003684,3.80006849891261,2.01626071888467,0.0518968961563677,0.224076122283797,-4.76221116665345,PCNX1
GAREM1,-0.478162989936084,4.41808439699547,-2.01351551643668,0.0519062174010692,0.224076122283797,-4.94780163696905,GAREM1
DNTTIP1,0.248447873658868,6.03285787445137,2.01293756199308,0.0519699571339989,0.224270783800002,-5.31610819583385,DNTTIP1
MTHFD2,0.350168802644292,5.80215430048602,2.01180304035326,0.0520952766609613,0.224651490705198,-5.20122135859367,MTHFD2
NEIL2,-0.439327681906864,4.34844738161647,-2.01180069794912,0.0520955356761285,0.224651490705198,-4.83346733884778,NEIL2
MX2,0.839171685523002,3.70970526521477,2.02034916439543,0.0521259681160633,0.22470215717989,-4.69883753087441,MX2
RIOK3,-0.264832483638338,6.77145864787157,-2.01104629459722,0.0521790135652843,0.224850231511886,-5.53455900542949,RIOK3
TCEAL8,0.386531066887326,5.15773497122168,2.01055450692591,0.0522334947746411,0.22500438454678,-5.13411919721471,TCEAL8
ISCU,0.232801490413509,6.17630337809553,2.0098710626319,0.0523092905236215,0.225250210213962,-5.40438385782585,ISCU
ARF3,-0.258166680963527,6.13400777714184,-2.00955838891405,0.0523439988429765,0.225318995735318,-5.35684121605532,ARF3
MYO1E,0.24551449354832,7.71256981318019,2.01176652734191,0.0523904861384906,0.225438417455322,-5.78367604758289,MYO1E
TAF5,0.735410199222866,3.1912993230153,2.00686918823357,0.0526433439915608,0.226445457148248,-4.6203638898835,TAF5
IFNAR2,-0.35481156333069,5.06345939198263,-2.0065386010525,0.0526802457966076,0.226511990080723,-4.98373640874931,IFNAR2
CALCOCO2,-0.209517375333386,7.5293638432682,-2.0063932423281,0.0526964786102821,0.226511990080723,-5.71901337948496,CALCOCO2
APP,-0.369996695945553,8.18524470840193,-2.04375324034449,0.0529343976334892,0.227453376326536,-5.81158778699339,APP
PKLR,0.971104329458647,0.0666547000547619,2.00384695496447,0.0529815416119645,0.227523369674048,-4.14809162980153,PKLR
SAMD9L,0.821049990152934,3.07233337914406,2.00617641842882,0.0529885223627677,0.227523369674048,-4.6171149521262,SAMD9L
NGLY1,-0.303905406444173,5.3514146029202,-2.00360765031002,0.0530084013518524,0.227527495738304,-5.18256304277673,NGLY1
PNCK,-0.670700375436939,2.33068662081662,-2.00233108149062,0.053151885144889,0.228061977394784,-4.42184762241244,PNCK
FRYL,-0.396469991520597,5.27464564356243,-2.00135070646376,0.0532623071293145,0.228454268132762,-5.21429241421345,FRYL
DENND6B,-0.976255010883704,1.07044836733876,-2.00044503581802,0.0533644926418763,0.228810963637735,-4.18304229230079,DENND6B
PYCARD,-0.697789541681827,2.87170639620307,-1.99907920853303,0.0535189201562351,0.229391323135795,-4.54051615955948,PYCARD
MAP4K5,0.443573513558359,4.93294786732296,1.99857254948972,0.0535763046167501,0.229555474038352,-5.02894287190815,MAP4K5
USP47,0.196767004876747,7.59889583454354,1.99816101946747,0.0536229541750999,0.229651320478577,-5.7862590624364,USP47
RAPGEF5,0.524957410590235,3.13356504899163,1.99786271057606,0.0536567915201475,0.229651320478577,-4.65754612636877,RAPGEF5
STX8,-0.394926289178382,4.01899375068137,-1.99779950306533,0.0536639635720852,0.229651320478577,-4.87906975218444,STX8
GPR157,-0.47355537141909,3.81868172202603,-1.99760913095336,0.0536855698288255,0.229651320478577,-4.85514721516788,GPR157
SEPHS2,0.180601723452024,7.74236167308789,1.99753357096976,0.0536941476000464,0.229651320478577,-5.83295908003835,SEPHS2
DMBX1,-1.01415137501837,0.84225138991787,-1.99683297620821,0.053773737878672,0.229909969949089,-4.17676547884207,DMBX1
HACE1,0.575101642597954,3.15853923796376,1.99628065266803,0.0538365564175964,0.230096753388213,-4.64764645626149,HACE1
PEX26,0.801347260469836,2.73859743878334,1.99571296410382,0.0539011891186177,0.230291155072687,-4.46384264280287,PEX26
SHROOM2,0.5412423774983,3.75632819675362,1.99521840920468,0.0539575504641804,0.230378874276447,-4.86577510169619,SHROOM2
COA1,0.238806863718543,6.53073019621163,1.99505519330559,0.0539761624292823,0.230378874276447,-5.50833732478475,COA1
SLC38A5,0.349503153920655,5.78528091077444,1.99502868469712,0.0539791858078514,0.230378874276447,-5.21781637722949,SLC38A5
SPPL3,0.159900515304136,7.61570727672766,1.99483128677235,0.054001704215465,0.230393223341397,-5.82226541915898,SPPL3
NDUFA5,0.279788096582058,6.03505979154855,1.99451752435379,0.0540375138846033,0.230464248046143,-5.40952844725843,NDUFA5
H4C3,-0.233449554391003,8.14673370181364,-1.99693860117106,0.0541065986297819,0.23061183820041,-5.86015168176903,H4C3
FAAH,-0.193453757658391,7.01812061764976,-1.99387885783841,0.0541104687288233,0.23061183820041,-5.66385654900636,FAAH
KANK2,-0.675101886418161,3.59348975243026,-1.99227190996263,0.0542944098958029,0.231270296526535,-4.65642705751311,KANK2
FAM234A,-0.218101227611932,6.76554519833151,-1.99219325603185,0.0543034270716668,0.231270296526535,-5.56581851131717,FAM234A
SYTL1,0.668927199816249,2.49858945231561,1.99122773762201,0.0544142239567201,0.23166013151415,-4.55745429955467,SYTL1
FAM83E,-0.446164174558263,3.95850177159044,-1.99074608392983,0.0544695690886986,0.231738564960028,-4.93235678420273,FAM83E
ZFAND4,0.517250266117981,3.46280405595707,1.99073204113032,0.0544711834324437,0.231738564960028,-4.73434816566829,ZFAND4
HOMER1,0.718414476777131,3.38270494329683,1.98988110488201,0.0545690838363197,0.23207297429258,-4.66049258013182,HOMER1
WWOX,-0.426363354906832,4.24436235100231,-1.98877717671121,0.0546963192543958,0.232531859905486,-4.92469282400831,WWOX
FBXO32,0.361271110129112,4.99284368759422,1.98856029676758,0.0547213465077166,0.232556054575374,-5.19204428024422,FBXO32
CBR4,0.613635723511988,3.1589080000967,1.98739630393558,0.0548558379391333,0.233034918961622,-4.61451405634179,CBR4
TCAIM,-0.375867513941193,5.13509916743177,-1.98715835077319,0.054883367191924,0.233034918961622,-5.12231758259367,TCAIM
TSTD2,0.532805318908078,3.91058795542958,1.98708243028349,0.0548921531070322,0.233034918961622,-4.8101148097621,TSTD2
ZMYND11,0.226662345555853,6.56893170920532,1.98616724931626,0.0549981589659983,0.23340256100355,-5.5488734528659,ZMYND11
ANG,-0.643993582444654,2.59960802200095,-1.98508418628547,0.0551238407934571,0.2338387038494,-4.4777257776535,ANG
BTG3,0.333656435040938,5.26865065921599,1.98494667598656,0.0551398157576203,0.2338387038494,-5.12658469335388,BTG3
SLC22A16,0.613744291900501,2.67550378130397,1.98465321242354,0.0551739217285787,0.233900865925138,-4.63309433962665,SLC22A16
AMACR,-0.497660487402706,2.73405428592709,-1.98443584386502,0.0551991958628425,0.233925556251729,-4.62589802901887,AMACR
EPSTI1,0.50579340686058,4.30165373282438,1.98394189691416,0.0552566660988136,0.234042854282504,-4.93638641783438,EPSTI1
ERCC6L2,0.450176027380612,4.36351435586279,1.98376585683773,0.0552771607638029,0.234042854282504,-4.94955689944775,ERCC6L2
ARMCX3,1.05591238541557,1.59221021624142,1.983686501993,0.0552864014525536,0.234042854282504,-4.30958002498392,ARMCX3
MMGT1,-0.310231993953821,5.56000724174063,-1.9835292786533,0.0553047137167105,0.234042854282504,-5.25711259734008,MMGT1
SYT1,0.500496811514746,4.12556774176196,1.98330309407931,0.0553310673532834,0.234072017959177,-4.98385297338655,SYT1
FAR1,-0.218758673917876,7.32036528071836,-1.98312216617603,0.0553521558236439,0.234078895249988,-5.69628561782613,FAR1
HMGN3,0.499481907413188,3.94393905988825,1.98223423875069,0.0554557516337416,0.234393136009637,-4.84188792686399,HMGN3
AEN,-0.271482337364131,6.43404782202279,-1.98215125986645,0.0554654415135467,0.234393136009637,-5.44645835087915,AEN
SHH,-0.732733548745293,2.85089838772337,-1.98135995143402,0.0555579207529983,0.234701479766881,-4.50901597933232,SHH
MAPRE1,0.167407334949034,7.64050389150836,1.980803498149,0.0556230330352655,0.234894037329754,-5.78425481741661,MAPRE1
S100A13,-0.897419977848704,1.34203140800389,-1.98028015440431,0.0556843316109396,0.235042888325177,-4.25177738221694,S100A13
CCT3,0.141380832195328,8.98556895970543,1.98001689880838,0.0557151885970181,0.235042888325177,-6.01267182058267,CCT3
SOWAHA,-0.32167366743065,4.70326982503828,-1.9800022178224,0.0557169098374557,0.235042888325177,-5.16820967772897,SOWAHA
DIPK1A,0.55068845933063,3.99771070427955,1.97957850867568,0.0557666066263737,0.235085546910026,-4.87954539001281,DIPK1A
CAPG,0.156264253464471,8.59747195015198,1.9794546402955,0.0557811424103541,0.235085546910026,-6.00500639777451,CAPG
KRIT1,0.377287306844315,4.96798217738467,1.9794161360494,0.0557856615017223,0.235085546910026,-5.11567000964707,KRIT1
IMMP1L,-0.429644439490188,4.31822052289171,-1.97920028859393,0.0558110005594392,0.235109948766506,-4.927601257467,IMMP1L
CEL,1.05550761563693,-0.375858355690669,1.97884831027772,0.0558523419385509,0.235201721461818,-4.17984823524396,CEL
CSAD,-0.668145841764977,2.58627601107614,-1.97853313181863,0.0558893836048629,0.235201961942217,-4.54877326988282,CSAD
KIF2C,-0.285354639343901,6.30566344389674,-1.9782925168906,0.0559176764902027,0.235201961942217,-5.42513745714095,KIF2C
PHF7,-0.957573505738195,1.7843511101438,-1.9782777510538,0.0559194131475077,0.235201961942217,-4.27508552576675,PHF7
SERINC5,0.302350797590293,7.43808299801385,1.99436348310301,0.0559306236929194,0.235201961942217,-5.80870643020726,SERINC5
BAHCC1,0.999834446974138,0.819098342891564,1.97735663400959,0.0560278413988546,0.235439083459426,-4.23508453678923,BAHCC1
TJP3,-0.187059117034964,7.57063789851451,-1.97734113605981,0.0560296672845945,0.235439083459426,-5.81868650497692,TJP3
HEATR6,-0.478063324287402,4.12005003698559,-1.97720474470056,0.0560457384172558,0.235439083459426,-4.89043161165556,HEATR6
IRF2,0.320698164583163,5.09676873285821,1.97651444799332,0.0561271382485575,0.235698705207891,-5.16154508702026,IRF2
KLC3,1.1826978150511,-0.0932311854215954,1.97544798282567,0.056253097873927,0.236121306601354,-4.16968468879225,KLC3
SLC36A2,-0.979814427506138,-0.00403314887334462,-1.97527047955759,0.0562740865164202,0.236121306601354,-4.23110345119729,SLC36A2
TUFT1,-0.231007245907105,6.72879006563606,-1.97516408305645,0.0562866704935629,0.236121306601354,-5.64173231013478,TUFT1
ALS2CL,-0.644927967869964,3.82116711518361,-1.97446265835334,0.0563696922572293,0.236387129978276,-4.77353791848605,ALS2CL
MZT1,0.523939584706646,3.95908739074415,1.9738422696521,0.0564432111163536,0.236612931368555,-4.81681771954168,MZT1
TRDMT1,0.682485729592853,2.74370363940251,1.97270678448988,0.0565779870109776,0.236755444791433,-4.57991619944336,TRDMT1
STIP1,0.14647556723839,8.24215321266549,1.97269252411291,0.0565796814159072,0.236755444791433,-5.91338880357086,STIP1
TIGD2,0.313293536745237,4.99421763192202,1.97268256446195,0.0565808648386557,0.236755444791433,-5.23133284361803,TIGD2
EIF2AK4,0.350195107948108,5.48559976280475,1.97261839003013,0.0565884906699476,0.236755444791433,-5.31992813249628,EIF2AK4
MYO18A,-0.376223686307746,5.32367554570209,-1.97259745977548,0.0565909779998136,0.236755444791433,-5.2268537010206,MYO18A
CHD1,-0.601541700991759,4.56196344709628,-1.9747237870851,0.056595319179793,0.236755444791433,-4.93756464456223,CHD1
CDKN2B,-0.832680480666838,2.37078245372553,-1.97213876010375,0.056645513247575,0.23688302775681,-4.43950506058878,CDKN2B
TEC,-1.07392607865037,2.46223836757491,-1.97210788836484,0.0567338049684467,0.237169785316479,-4.39334922656361,TEC
ACOT13,0.235820197377275,5.89827323083009,1.9703630998313,0.0568570538096344,0.237602427438663,-5.40061186907469,ACOT13
CDC42SE2,0.220290132966573,8.93122497974157,1.97802831754373,0.0569406278528129,0.237869027851956,-6.04059475560878,CDC42SE2
CARMIL1,-0.373907565896279,5.16587907695635,-1.96871749853745,0.0570537121519085,0.238258679184376,-5.2246429908412,CARMIL1
ACTR6,0.361112355952334,5.07759573378908,1.96843898522199,0.0570870543839801,0.238315169412054,-5.16856306598959,ACTR6
MATCAP1,-0.526539999058727,3.20039893897805,-1.96823183805085,0.0571118639842004,0.238336012539201,-4.68302814926114,MATCAP1
PIGL,0.635914772343372,2.93705921504146,1.96758449394474,0.0571894554287209,0.238577031023665,-4.6197761801066,PIGL
ARHGAP44,0.993262979364826,0.312845560999724,1.96624567682209,0.0573502180409094,0.239164726899451,-4.2383042175014,ARHGAP44
FAM228B,1.06294194658697,-0.31053824874227,1.96598051810984,0.0573821042881075,0.239214755033993,-4.16147743911622,FAM228B
KLHL32,1.20581348338414,-0.388775900929384,1.96480136672984,0.0575240877160481,0.239689695685618,-4.1799814231354,KLHL32
TYW1B,0.973415206884847,0.606987615585101,1.96470346258026,0.0575358902007466,0.239689695685618,-4.27826618692311,TYW1B
SPAG5,0.321110126033357,5.86761984713506,1.96448729131441,0.0575619573971635,0.239715256792135,-5.36825181292038,SPAG5
NBR1,0.138144054677655,8.42901607762553,1.96410137231506,0.0576085192476657,0.239826120107884,-6.00782247174353,NBR1
RAB3IP,0.261264646998321,5.93673903950164,1.96341272226365,0.0576916873601023,0.239963374670984,-5.4139977021007,RAB3IP
TMEM18,0.291060467756433,5.28677627985172,1.9633958119765,0.0576937309214619,0.239963374670984,-5.26710931856105,TMEM18
RYR2,0.7536396413352,2.8751050974351,1.96333280850935,0.0577013452688523,0.239963374670984,-4.62494074536751,RYR2
RNF122,-1.02508068799125,-0.24329521424568,-1.96289258998367,0.0577545726548074,0.240029810573129,-4.14988393475188,RNF122
HLTF,0.353173845230921,5.92277028655002,1.96287057579477,0.0577572355365955,0.240029810573129,-5.35954547730661,HLTF
NEK7,0.218541902866093,6.65111785987791,1.96197043241141,0.0578662099994603,0.240399622681696,-5.58189089275312,NEK7
ZNF493,-0.891672531834574,2.75623682136106,-1.96118871643229,0.057960991890839,0.240710238077045,-4.52811642730027,ZNF493
DGCR8,0.551970819072181,2.73635703415939,1.9598713637884,0.0581210236065981,0.241211390176098,-4.62634982541058,DGCR8
HLA-DMA,-0.584330330606707,2.72163930286664,-1.9598075568826,0.0581287845758524,0.241211390176098,-4.64438775790581,HLA-DMA
PPP1CC,-0.15387460466953,8.10914251723247,-1.95970029942091,0.0581418325534637,0.241211390176098,-5.91951753537344,PPP1CC
C6orf47,0.250948603605699,5.6112016618485,1.95952253911464,0.0581634628656305,0.241217919960324,-5.3537720964763,C6orf47
NUMA1,0.2904062447618,7.09987061321538,1.96645784899032,0.058322762129449,0.24175958133716,-5.78325950347936,NUMA1
EMC4,0.183475062667315,7.45088373618242,1.95803136555766,0.0583451874935564,0.24175958133716,-5.81990150772604,EMC4
G3BP2,0.159187007921695,8.50474337509973,1.95795608523425,0.0583543747087201,0.24175958133716,-5.98269594272359,G3BP2
SRD5A3,-0.326815093842432,5.13336405684321,-1.95757504430252,0.0584008962103904,0.241869000937454,-5.14191135303886,SRD5A3
RAD51,-0.338068131248713,6.01588985672942,-1.95697644191302,0.0584740448457795,0.242088584289222,-5.37814249776169,RAD51
ZNF518A,0.394976573043218,4.79111071924703,1.95648189569711,0.058534537819434,0.242255638800528,-5.19744967224502,ZNF518A
HERC3,0.328654493562346,5.18152237830983,1.95626416090914,0.0585611883692225,0.242282563645215,-5.30666760239286,HERC3
FBL,-0.258771000766318,6.10594845783648,-1.95570486235861,0.0586296942414736,0.242453304211124,-5.37540850130627,FBL
PUM3,-0.381352208552207,4.65749186166444,-1.95559812751971,0.0586427755841157,0.242453304211124,-5.06262031267076,PUM3
TMEM80,0.486482785688599,3.12106042791383,1.95523742903501,0.0586870012439637,0.24255277112067,-4.77778113195942,TMEM80
PELI3,0.411037887482991,4.73662116794773,1.95500296189657,0.0587157650319928,0.242588287887247,-5.06900011011707,PELI3
LNX1,-0.49458037954834,4.2714733756585,-1.95443875412135,0.0587850305798028,0.242791058648107,-5.03823761433975,LNX1
ZBTB6,0.529200578414466,4.04608462941125,1.95415527745896,0.0588198586027856,0.242851506836836,-5.01910416652984,ZBTB6
FLOT2,-0.200653883274785,7.18190139051267,-1.95379496702545,0.0588641522513245,0.242900462974551,-5.76138089274961,FLOT2
NSMCE1,-0.219267705882069,5.90880667464535,-1.95373027070578,0.058872108553323,0.242900462974551,-5.45869060610843,NSMCE1
ELP3,-0.260308733636441,5.91373859118082,-1.9533830860853,0.058914820962241,0.242993330491383,-5.41084565636965,ELP3
PPIL3,0.417759827483437,3.86320284515181,1.95315901541569,0.0589424015245925,0.243013985118149,-4.85803329981207,PPIL3
MED9,-0.380973388246413,4.52217819779027,-1.95301413860501,0.0589602401741713,0.243013985118149,-5.05428318315623,MED9
BBS12,-0.979469483357986,2.39356657421406,-1.95246699072335,0.0590564991056909,0.243327343180591,-4.4871562074451,BBS12
ROCK1,0.287737013736387,5.29087063629105,1.95116478726015,0.0591883616690158,0.243692595921375,-5.28429326113571,ROCK1
DEPDC7,0.288053721017155,5.12129930271323,1.95103917569034,0.0592038838202914,0.243692595921375,-5.35184209029874,DEPDC7
NFKB2,0.623176130408335,4.86232015784466,1.95102258890906,0.059205933755904,0.243692595921375,-4.7796552928044,NFKB2
NREP,-0.360201260596058,4.97297976596611,-1.95036554601991,0.0592871861791062,0.243866397795057,-5.13829983304101,NREP
UHMK1,0.219541990371284,7.53222600735904,1.9502247873129,0.0593046054927,0.243866397795057,-5.8704856638934,UHMK1
AP2B1,-0.259974258576051,7.48878690508074,-1.95245039701094,0.0593305814087467,0.243866397795057,-5.80057637995125,AP2B1
MAP7D1,-0.607251762501213,3.68917074457652,-1.94995732046373,0.0593377175348478,0.243866397795057,-4.72265136969134,MAP7D1
NAV1,-1.24858085518508,0.490548573565862,-1.94986183496033,0.0593495423917961,0.243866397795057,-4.23911252286129,NAV1
ZNF580,0.427198381449912,3.66121088169113,1.94844338350564,0.0595254429016533,0.244505635853205,-4.93910436469078,ZNF580
COL1A1,0.985714283150602,0.594084784645996,1.9479811563102,0.0595828605978598,0.244657925712004,-4.30942563381654,COL1A1
